Startup,URL,Description,Country,Focus Area,Innovation Area,Founded,Maturity,Total Funding,Funding Stage,Theme
Ping Things,https://www.pingthings.io/,"PingThings offers predictive intelligence solutions to the electric utility industry by combing predictive analytics, sensor data built on a platform to optimize asset health, minimize environmental disruption and improve grid stability. The platform identifies and mitigates risks from both natural and man-made events such as solar storms and transformer fails that can severely disrupt and damage electrical systems. It was recognized as a top 20 early stage startup at the Siemens New Venture Forum in 2014.",USA,Predictive Maintainance,Smart Assets,2014,Nascent,"4,140,000",Seed,Stability
Pix4D,https://www.pix4d.com/industry/construction,Pix4D is a cloud based solution for advanced image processing of standard aerial pictures taken by UAVs and aircrafts. Pix4D's Pix4UAV is a software package that converts thousands of standard pictures taken by drones into a professional geo-referenced image and a highly accurate 3D model. Pix4UAV is available both as a cloud service and as a desktop client.,Switzerland,Asset & data management,Smart Operations,2011,Nascent,"2,431,932",Seed,Stability
Planetly,https://www.planetly.org/en/,"Planetly is a provider of smart solutions for carbon offset trading platforms. It provides software for carbon quantity management. It allows users to analyze the company's carbon footprint and the software helps them to take the right action to reduce CO2 emissions. The software that helps companies calculate, reduce, and offset their CO2 emissions.",Germany,CCT,Carbon Management,2019,Nascent,"6,000,000",Seed,Sustainability
Plugless Power,https://www.pluglesspower.com/,"Plugless Power, manufactured by Evatran, are electric vehicle (EV) charging systems on the market that offer a simple way to charge EVs with the ease of hands-free technology. Formed by the company formally known as MTC Transformers, a leading provider of high-quality, precision-engineered transformers and rewind services, Plugless Power by Evatran is built from over a century of combined executive experience in engineering and designing custom electrical transformer solutions.",USA,Infr. for e-transport,Transport,2009,Emerging,"15,800,000",Series B,Mobility
Plugsurfing,https://www.plugsurfing.com/home,"PlugSurfing offers mobile and web platforms to help users find electric car charging points & barrier free payment for EV charging. By merging multiple data sources, including real-time APIs direct from charging point providers, as well as static crowd-sourced data from the charging point community, the PlugSurfing app & website are able to display a large database of charging points. PlugSurfing is crowd-funded and supported by the EIT ITC Labs and Climate KIC incubators.",Germany,Infr. for e-transport,Transport,2012,Mature,,Acquired,Mobility
Pod Point,https://pod-point.com/,"POD Point manufactures and sells electric vehicle charging points. The company has also established a network of electric vehicle charging stations across UK. The company provides solutions for home, business and destination applications.",England,Infr. for e-transport,Transport,2009,Mature,"58,390,344",Acquired,Mobility
Power Ledger,https://www.powerledger.io/,"Power Ledger uses blockchain technology to provide a transparent, auditable and automated market trading and clearing mechanism for the sale of surplus renewable energy generated on-site at multi-unit/multi-tenanted residential and commercial developments and at homes and businesses connected to microgrids and the distribution network.",Australia,Smarter Grid,Optimising Network Resources,2016,Nascent,"6,240,000",Seed,Accessibility
Powerhive,https://powerhive.com/,"Powerhive offers cloud-based software platform ""Honeycomb"" that remotely monitors and controls microgrid operations, and runs real-time data analytics. The company SWARM which enables rapid microgrid site selection and customer identification. In Dec 2015, Powerhive has partnered multinational utility Enel Green Power (EGP) in a US$12 million deal that will see them build and operate mini-grids in 100 villages in the country.",USA,Emerging Business Models,Enabling Consumers,2011,Emerging,"33,800,000",Series B,Accessibility
Powervault,https://www.powervault.co.uk/,"Powervault builds and manufactures plug and play energy storage device, which lower household electricity This patent-pending product uses an integrated battery and control system to store the free electricity generated from solar panels during the day and then release the stored energy in the evening.",England,Green Building,Enabling Consumers,2012,Nascent,"8,168,390",Series B,Accessibility
Precision Hawk,https://www.precisionhawk.com/,"PrecisionHawk's Plug-and-Play platform comes with a fully integrated Sensor, Suite. PrecisionHawk's UAV platform, the Lancaster Hawkeye Mk III, provides users with fast and accurate data acquisition that is then processed and delivered to clients in relevant and usable formats. The team is comprised of professionals with backgrounds in remote sensing, unmanned aircraft operations, software development, data processing and GIS systems development.",USA,Predictive Maintainance,Smart Assets,2011,Mature,"137,000,000",Series E,Stability
Predictive Safety,https://www.predictivesafety.com/,"Predictive Safety provides safety solution for the workforce. The products offered by the company are Prism and Alert Meter. Alert Meter is alertness testing tool which measures a persons cognitive alertness with a 60-second graphic test taken from a touchscreen tablet or a smartphone. Prism provides a solution to captures and analyzes real-time fatigue data and predicts when employe's condition will downgrade and offering helpful countermeasures to head off fatigue effect. The company also provides service for training fatigue management, incident management & compliance assistance and safety planning and emergency preparedness.",USA,Personnel Protection,Safety,2013,Nascent,"3,500,000",Seed,Stability
