Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD),Year Score,Funding Score,Maturity Score,Maturity,Value Chain Grouping,EU,Focus Area,Opportunity Space
NYMBUS,nymbus.com,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Nymbus provides a full-stack, cloud based banking platform to the financial institutions with a holistic, pre-integrated solution that includes an entire core platform with all digital channels and payments to service their members. Along with core-banking services, it provides services in omni-channel banking, website design & management, credit and debit card services etc. ",USA,2015,Series C,2020,45420000,12000000,0.66,0.66,0.66,Emerging,4. CLIENT SERVICING & SUPPORT,N,,
Oakam,https://www.oakam.com/,5,Engage Consumers,15,Banking & Personal Finance,"Oakam is a lending platform for people who are either unbanked due to recently moving to the UK and hence without a credit history or the ones who are under-banked because of getting into some financial difficulty in the past. Oakam claims to be taking each case subjectively rather than just the credit score of the client. The loans can be applied online through web or app, through their stores or through phone line. Oakam is authorised and regulated by the Financial Conduct Authority, UK. ",England,2006,Corporate Round,2017,41460000,41460000,0.99,0.66,0.825,Mature,6. OTHER,Y,,
obopay,http://obopay.com,5,Engage Consumers,15,Banking & Personal Finance,"Obopay lets consumers and businesses purchase, pay, and transfer money through any mobile phone using on its mobile app, by text message, mobile Web, or Obopay.com. Obopay works on all mobile phones and carriers in the U.S. It has partnerships with Citi, Fidelity Information Services, MasterCard MoneySend, Bancorp, Verizon Wireless, AT&T and RIM. Acquired BillMonk, a social money management tool, which got later acquired by BillPin, a Singapore bill-splitting startup in 2013.",India,2005,Acquired,2011,144760181,8760181,1,1,1,Mature,6. OTHER,N,,
Ohalo,https://www.ohalo.co/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Ohalo provides a platform for data governance to enterprises dealing with personal data moving across applications and databases. The system automatically scans and reports the personal data with compliance management. Their Data X-Ray solution automates scans of databases and cloud services to identify where the sensitive data exists in the system using machine learning algorithms. Pricing is on a monthly basis depending on the number of data sources, and the size of business.",England,2016,Seed,2017,240000,90000,0.33,0,0.165,Nascent,4. CLIENT SERVICING & SUPPORT,Y,,
Ohpen,ohpen.com,4,Automate workflows,12,IT & Data Cost Managament,"Ohpen is a Netherlands-based company that has built cloud-based core banking software, targeting any large financial services provider that administrates retail investment and savings accounts.",Netherlands,2009,Series C,2018,48010000,31010000,0.99,0.66,0.825,Mature,6. OTHER,Y,,
Omniex,https://omniex.io/,2,Access Liquidity,5,Tokenization and Digital Assets,"Omniex develops software infrastructure that integrates front, middle, and back-office services to simplify access and remove fragmentation. It operates an institutional operating platform for investment managers and active traders focused on crypto-assets. Omniex's solutions include Portfolio Solutions and Analytics; tracks crypto-asset portfolio, valuation, orders, risk and performance, and provides real-time dashboards and unified analytics services, Connectivity and Routing; unifies trading interface, multi-venue DMA and routing services that allows fund managers and traders to refocus attention and valuable time on managing portfolios, making investing decisions, and creating profitable trading strategies, and Algorithmic Execution Services; allows traders to execute orders with minimal impact on the market. Hu Liang, John Burnett, and Kamal Mokeddem founded it in 2017, with its headquarters in San Francisco in California.","San Francisco, California, United States",2017,Seed,2020,5000000,5000000,0.33,0,0.165,Nascent,2. SECONDARY,N,,
OnCustodian,https://www.oncustodian.com/#banner,3,Manage Risk,10,Crypto-Custody & Encryption,"Onchain Custodian offers cryptocurrency custodian services. Allows clients to choose between co-managed and full custody solutions. Provides customizable user roles and approval levels. Supports Bitcoin, Ethereum, and Litecoin.",Singapore,2018,Unfunded,-,-,-,0.33,0.66,0.495,Nascent,3. POST TRADE,N,,
Ondot Systems,http://www.ondotsystems.com/,4,Automate workflows,14,"Cash, Payments & Banking As a Service","Ondot enables banks and FIs to provides solutions to customers for managing the payment cards and transactions. Features includes pre-authorization controls, real-time transaction alerting and management. They can allow their consumers to use their existing payment cards at any merchant, and control when, where, and how that card can be used.",USA,2011,Corporate Round,2018,50980670,,0.66,0.66,0.66,Emerging,6. OTHER,N,,
Open Door Trading,https://www.opendoorllc.com/,2,Access Liquidity,6,"FI, FX & Listed Equities","OpenDoor Trading provides liquidity to off-the-run Treasuries (OFTR’s) and Treasury Inflation Protected Securities (TIPS), through a proprietary trading platform that is anonymous and session-based. It offers free access to its browser-based platform. Its customers include asset managers, central banks, primary dealers, hedge funds, and trading firms.",USA,2015,Series A,2018,32000000,10000000,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
Open Invest,openinvest.com,2,Access Liquidity,6,"FI, FX & Listed Equities","OpenInvest is a YCombinator and Andreessen Horowitz-backed startup powering the post-fund future. Their team of senior technologists from the hedge fund industry and civil society leaders is first tackling under-served markets in customized ESG asset management. With seed funding, the team has built fully integrated and proprietary direct-indexing construction, management, trading, proxy voting, and UX systems that now serve thousands of customers.",USA,2015,Series A,2020,24620000,10550000,0.66,0.33,0.495,Nascent,1. PRIMARY,N,,
OpenFin,https://openfin.co/,3,Manage Risk,9,Data & Risk Analytics,"OpenFin provides of HTML5 runtime technology for the financial industry that enables seamless deployment and desktop integration, banks and trading platforms use OpenFin to run high-performance, multi-window HTML5 applications on financial desktops, in-house or their buy/sell side customers. Their development tools consist of language adapters, Excel APIs, Inter-app messaging APIs and system APIs. The company makes its money on per-seat fees charged to the companies that make and distribute the applications that run on its service.",USA,2010,Series C,2019,41600000,22000000,0.99,0.66,0.825,Mature,4. CLIENT SERVICING & SUPPORT,N,,
OpenGamma,https://opengamma.com/,3,Manage Risk,8,Optimization & Collateral Mgmt,"OpenGamma provides an open-source platform (called Strata) for derivatives risk management and analytics to the financial services industry, specifically for use in the derivatives OTC markets. The company refers to its solutions as ""Risk as a Service"" and its products cover ETD & OTC margin calculations, bilateral OTC margining, and derivatives MTM & Greeks calculation. Apart from these, the company also creates customized solutions based on its analytics platform, and allows firms to use Strata for creating their own solutions.",England,2009,Series D,2019,53600000,1000000,0.99,0.66,0.825,Mature,3. POST TRADE,Y,,
OpenInvest,https://www.openinvest.co/,5,Engage Consumers,15,Banking & Personal Finance,"OpenInvest is a Public Benefit Corporation and asset manager that uses technology to mainstream customized ethical investing. OpenInvest is a YCombinator and Andreessen Horowitz-backed startup powering the post-fund future. Their team of senior technologists from the hedge fund industry and civil society leaders is first tackling under-served markets in customized ESG asset management. With seed funding, the team has built fully integrated and proprietary direct-indexing construction, management, trading, proxy voting, and UX systems that now serve thousands of customers. Founded in 2015, the company is headquartered in San Francisco, California, United States.",USA,2015,Series A,2020,24270000,10500000,0.66,0.33,0.495,Nascent,2. SECONDARY,N,,
Origin Markets,https://www.originmarkets.com/,2,Access Liquidity,3,"Alt debt, loans & SME financing","Origin is a digital marketplace directly connecting fixed income investors with large corporate borrowers in the bond market.  Origin creates a network in the world's largest borrowing market, reducing costs and increasing fairness and access to professional investors of all sizes. Issuers get direct access to the market, diversifying their investor base and gaining control over their borrowing costs, whereas Investors get full access to assets and can communicate directly with issuers. The company is part of the Barclay's Accelerator program 2015.",England,2015,Series A,2019,1000000,1000000,0.66,0.33,0.495,Nascent,1. PRIMARY,Y,,
Oval,https://ovalmoney.com/,5,Engage Consumers,15,Banking & Personal Finance,"Oval is an app that will link to a user's bank account and credit card, will give real time updates on the users' spending patterns and stats, while helping them save easily. When users will want to spend for an emergency, an event, a gift or a charity donation, Oval will also allow users to borrow up to 80% on top of their savings that will be repaid on a yearly basis with daily micropayments. The loan will be provided by P2P money of other savers on Oval that have opted to invest their money into loans to receive a higher interest rate. The app is in beta stage as on June 2016",England,2015,Series A,2019,11200000,1330000,0.66,0.33,0.495,Nascent,6. OTHER,Y,,
